,pm2.5,datum_od,o3,pm10,co,no2
0,60.0,2023-02-22 03:00:00,6.0,65.0,0.6,28.0
0,55.0,2023-02-22 04:00:00,3.0,59.0,0.6,29.0
0,51.0,2023-02-22 05:00:00,1.0,54.0,0.6,28.0
0,47.0,2023-02-22 06:00:00,46.37114427860696,51.0,0.7,31.0
0,49.0,2023-02-22 07:00:00,1.0,54.0,0.8,39.0
0,52.0,2023-02-22 08:00:00,3.0,66.0,0.3841990555757355,38.0
0,51.0,2023-02-22 09:00:00,5.0,63.0,0.7,42.0
0,50.0,2023-02-22 10:00:00,11.0,63.0,0.6,41.0
0,51.0,2023-02-22 11:00:00,23.0,66.0,0.5,46.0
0,48.0,2023-02-22 12:00:00,30.0,63.0,0.4,47.0
0,47.0,2023-02-22 13:00:00,40.0,62.0,0.4,43.0
0,40.0,2023-02-22 14:00:00,61.0,52.0,0.3,26.22096317280453
0,35.0,2023-02-22 15:00:00,67.0,45.0,0.3,25.0
0,36.0,2023-02-22 16:00:00,51.0,49.0,0.4,41.0
0,43.0,2023-02-22 17:00:00,29.0,59.0,0.4,61.0
0,29.0,2023-02-22 18:00:00,51.0,40.0,0.3,34.0
0,34.0,2023-02-22 19:00:00,51.0,39.0,0.3,32.0
0,35.0,2023-02-22 20:00:00,55.0,39.0,0.3,25.0
0,34.0,2023-02-22 21:00:00,61.0,39.0,0.3,19.0
0,37.0,2023-02-22 22:00:00,53.0,43.0,0.3,26.0
0,46.0,2023-02-22 23:00:00,17.0,52.0,0.5,45.0
0,50.0,2023-02-23 00:00:00,11.0,56.0,0.6,47.0
0,51.0,2023-02-23 01:00:00,3.0,57.0,0.7,44.0
0,51.0,2023-02-23 02:00:00,4.0,56.0,0.7,39.0
0,46.0,2023-02-23 03:00:00,7.0,50.0,0.6,34.0
0,45.0,2023-02-23 04:00:00,6.0,49.0,0.6,31.0
0,42.0,2023-02-23 05:00:00,6.0,46.0,0.5,32.0
0,40.0,2023-02-23 06:00:00,46.37114427860696,45.0,0.5,38.0
0,40.0,2023-02-23 07:00:00,46.37114427860696,46.0,0.6,44.0
0,41.0,2023-02-23 08:00:00,1.0,49.0,0.6,45.0
